id,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,
1,12064,11378,10252,10622,10860,10228,8191,6376,9318,9401,7749,6598,9065,11173,5670,6444,5237,2855,8084,9059,11014,13752,
2,27729,21367,20790,21349,20024,19820,15193,19274,21415,18395,16959,14225,19558,25909,15104,15781,13551,5328,15090,20409,23261,29484,
3,26498,22725,21592,21510,20947,25041,18503,21350,21348,19241,18392,14918,19237,23484,14726,15762,15378,7435,18014,22022,23941,28296,
4,29720,24180,22980,24367,24143,23701,19433,23618,24753,23094,20308,17652,24041,28080,17012,16918,17798,6386,17894,20646,24134,26581,
5,52758,42762,43638,40319,39802,40479,31582,39225,40506,34925,34269,31971,40567,52523,36484,32570,29784,11480,31624,41708,44491,50766,
6,114265,94294,91450,95977,95237,95132,76471,96088,92415,84645,82306,67555,88144,100436,61134,67563,65829,29631,72101,97056,104907,118504,
7,15264,12666,12112,13209,12874,12660,10922,14114,16241,14696,13327,10411,18307,20904,12197,11672,8807,3229,9594,11992,13798,14595,
8,46320,39993,41119,45017,39653,37524,28459,37109,39322,37422,34900,30870,40112,49014,30686,32705,27494,10863,32148,36435,44204,46869,
9,37545,32487,31773,31121,30994,31513,23351,32514,31666,31164,25890,20305,29916,38320,23210,25191,20009,9119,22211,30000,36413,43057,
10,139254,90525,127030,114158,131310,138483,109840,124020,135114,131218,110633,102527,135760,153116,94182,101875,103976,37032,94071,119353,129928,130098,
11,43706,39458,34383,33812,38439,38406,30526,33940,42201,36932,34757,28650,41062,48519,31825,31850,29328,11139,26940,36194,38276,42855,
12,20299,12763,15842,15976,20582,21225,14345,18647,17726,17763,14642,11934,15473,17721,10331,12266,12585,4957,15230,16581,17033,20180,
13,75076,51203,60067,61081,68236,60540,51756,61271,60689,56720,46118,42603,62761,71868,49377,48588,49189,17309,50847,60641,65725,68275,
14,6198,2638,3793,4002,5238,5993,3831,4844,5402,4312,3451,3393,5868,6867,5851,4244,4690,1353,3752,5407,4815,3766,
15,5893,3724,6023,5273,5311,4959,4491,5749,5504,6308,3868,3703,5411,4964,2778,3402,2940,1436,4220,4388,5466,6258,
16,74999,51898,58418,59219,64751,65621,49785,52748,57060,60588,49187,43077,59309,63726,43486,43047,41785,19721,50588,62155,68151,74672,
17,33503,29232,28242,29691,25745,24510,20887,25971,23019,19961,20936,14222,24278,29959,20252,22380,18684,7365,21949,25361,28181,35137,
18,19207,15866,16211,16404,15476,12159,11188,14393,12505,10053,12018,9697,15758,15219,8785,10323,8117,4187,13511,15980,17964,18806,
19,17239,13652,11146,10973,10716,12806,9377,10851,10755,10361,10284,7225,9943,12428,7365,7560,7132,3751,8642,10355,11648,12395,
20,21196,17785,17583,17806,18637,17331,13938,18376,18036,15126,14700,12093,16979,19927,12384,12863,13643,4647,13230,15539,19175,23991,
21,31124,26686,25735,26082,28396,27529,23209,26371,26613,25403,24499,18738,26247,35205,22449,21474,20993,7873,20676,25966,27209,30680,
22,440515,415085,398754,405558,432775,451297,368044,438749,448717,410936,391493,342470,415073,532349,379366,390779,404126,117209,305449,369264,417168,444604,
23,33253,29138,27085,27275,25298,25148,18926,23956,24211,22256,21179,18508,23324,26550,15402,16968,17466,8784,22354,24259,32173,35265,
24,212557,198966,188026,193724,183662,178351,149395,179577,186379,170884,162038,134231,162619,181316,122494,136813,133821,58018,146589,179677,205961,218408,
25,38387,35017,35354,34948,32975,32781,26632,29387,33690,27238,26481,22499,28067,30365,18326,23744,22485,12163,26978,33231,37398,39123,
26,55934,60997,84491,115165,133794,124733,96574,128845,126660,111976,90473,86143,114723,138702,87350,93570,90457,49506,106839,79931,52309,54319,
27,17535,15708,14678,14545,14392,13572,11122,13488,13216,13028,11135,9414,13100,16158,8636,9391,9274,4639,10869,13013,15892,18178,
28,70297,75752,105860,138152,176898,165899,131328,160436,170868,156432,128456,118203,119618,170031,134084,125738,123400,59287,125230,98281,63730,67686,
29,112666,119747,118379,115412,118358,111411,98897,119427,123906,123721,116316,97464,111097,143343,97282,106006,109189,29926,89318,108812,113693,112040,
30,4670,5117,4854,4822,4581,4859,4821,5146,4928,5199,4828,4127,5323,9800,5025,4347,4190,1513,4199,4181,5288,4618,
31,21555,19844,18444,18992,19223,18441,16555,21562,21148,18757,18629,16868,24498,37946,22795,19616,19757,5326,14570,17300,18798,21674,
33,17422,17656,17485,16879,18038,18299,14934,17547,19620,18123,18201,15630,20882,21545,15751,16730,19296,4633,13260,15681,17309,16532,
34,8431,8011,7165,6384,6232,6678,5306,6487,6808,7293,7012,6489,8260,9106,5697,6659,6990,2545,5926,6530,7907,9277,
35,9258,9395,9166,9739,10094,9620,8216,11112,10545,9609,8776,8826,12450,11027,8896,12424,9258,2865,7732,8834,8879,8839,
36,9132,9439,9794,9882,8671,10307,12117,13720,12620,10808,10038,9143,10929,11652,7477,8162,8222,2493,6583,8773,9555,9529,
37,7229,7174,8222,7176,6734,7845,7299,8074,9159,8569,7953,6861,3984,8081,5963,8054,7382,1408,4652,6308,7300,7482,
39,1033421,1004146,963015,954598,1029990,1039560,861339,1047483,1089388,1096632,1023826,855849,1061995,1301529,838392,889297,894183,279191,681836,867292,982038,1042312,
40,45239,43151,43844,43462,47696,43961,36773,47034,48533,51613,48183,42352,54454,84864,51183,54387,45775,11928,32947,39150,42464,44988,
41,28399,25565,25351,28208,24946,27918,21292,25670,26775,23290,23687,21430,30116,56409,33427,28350,26742,8106,17622,26924,28574,28522,
42,8062,7529,7621,6930,8544,8416,7792,7924,8996,10384,8604,6813,10628,25408,16097,12029,10209,2956,6573,7767,8511,8128,
43,26658,28050,29352,28872,30200,31358,25037,27803,29821,30489,30345,24664,36388,51417,30342,28164,26508,6130,21665,22815,24318,28254,
44,33619,28626,28716,30124,30533,28906,24875,28461,32560,28544,27495,23994,34874,60501,39366,32540,29195,9695,19943,29540,31291,34139,
45,2143,1749,1958,2212,2298,2438,1418,1905,2801,2188,2210,1809,2797,3433,1979,2002,2051,612,1850,1992,2040,2372,
46,10348,8228,7694,9169,9664,10432,8380,8876,9331,9323,8748,6542,9672,13272,8168,8481,8614,2073,7376,8543,8405,9664,
47,20503,21143,20703,21496,19271,20570,13567,21786,22882,21365,21960,18715,22737,24699,17668,20807,23152,6067,15493,18682,21699,24206,
48,50218,45591,45844,48096,43247,40362,34946,37753,46909,46969,45085,34672,56725,94353,54346,57902,58717,11919,33585,37695,44455,51400,
50,88872,84454,84212,83514,92221,87532,69408,82189,86646,78497,74928,67386,92189,147044,93361,88420,79033,24447,65415,81761,95608,96710,
52,169219,154212,150929,147919,154606,153323,126408,142166,161514,154980,148431,122793,160864,212067,136059,127589,136212,47976,121058,147384,156835,162240,
53,54498,47134,42580,43990,42820,45305,33018,34115,37122,31574,29461,25035,38670,58577,31426,30739,31924,13092,37169,42202,49139,56756,
54,32945,27438,26332,27455,26873,29799,23822,26586,28548,26340,24885,20040,20853,39563,23445,20935,22407,8251,22287,28169,28505,33979,
55,21046,16955,16909,15600,16912,20384,13224,15009,17354,16814,15354,12661,20213,38634,21631,17248,15992,5271,12499,17132,17491,21754,
56,81197,65943,61524,59605,62514,63976,50751,61475,66188,58252,54247,46776,68151,120149,73893,62256,58407,18179,45815,61568,72485,86157,
57,6997,6838,6324,6828,6906,6104,4902,9389,5382,5390,5819,5250,11413,36310,22790,21006,16660,2097,4926,7416,8244,7882,
58,1484455,1455576,1387748,1401912,1507200,1561800,1310544,1535390,1583790,1578866,1465548,1259246,1512249,1767241,1163552,1278619,1297314,348457,924405,1123317,1321366,1381641,
59,77740,70247,66061,68843,77602,73749,62872,77091,72504,65194,61844,54468,75929,84217,58720,58432,58533,19093,50807,61269,68073,80125,
60,17084341,15779558,15727603,15708348,16618867,16506405,12637917,13541170,13182085,11811421,10190690,8644286,14727054,24867993,15773076,16468303,15534118,5830710,13028133,15052200,16037951,16986696,
61,347498,310232,306181,305556,316059,323512,275781,322191,339613,337384,321639,279620,356529,403721,266386,269908,268345,88071,231825,293255,328459,347432,
62,3190,3011,2906,3469,3581,4983,2757,3430,4223,3133,3416,2974,4092,6552,3115,2705,3027,1047,2993,2326,2858,4256,
63,115090,103784,100555,107273,110041,85380,75419,96769,104205,106453,96867,82772,103285,146181,94444,96213,79796,48059,96137,102779,97460,112887,
64,252409,212480,211002,211335,216166,219087,182587,225236,243952,232805,212497,178433,224474,282530,180598,176643,177730,63713,162478,202695,222065,246225,
65,109432,114768,127619,131671,57572,0,1,0,0,0,0,0,50913,150745,93975,103943,89346,50720,104252,122259,135583,134235,
66,380330,354967,370840,380833,182743,10857,9217,12552,13299,16519,12506,10070,146259,444731,284589,299744,248016,164378,343312,386780,421131,425120,
67,104054,85709,83964,83241,86236,86369,67623,84408,83207,83134,81033,62019,83903,107744,73454,68940,65336,29526,69816,85753,89940,94508,
68,139865,128501,123480,129928,60109,6650,9010,10252,11213,11394,3175,0,59990,162254,103858,107239,87605,50339,105671,125370,134342,140580,
69,236365,210139,206240,184551,231575,155420,205886,221106,228936,215542,71981,0,82035,230919,149874,151422,137478,80688,173594,221152,230228,243609,
70,31977,31739,24955,27864,29941,18131,23571,30631,30439,26407,8198,0,9350,29699,18900,18916,18417,11665,23171,29505,29947,33322,
71,5644,6305,9174,9224,15082,13811,10985,14668,13098,11921,10297,9338,12199,9674,7321,7806,8174,3210,9615,8347,5144,5883,
73,13774,17061,25737,34200,38495,35832,28461,37049,33033,32801,24119,24612,29404,30385,19536,21503,20199,11147,27306,24660,15991,15851,
74,1081,1390,1871,2535,2712,3440,2087,3134,2421,3146,2515,1990,4086,7188,5239,5669,5344,1421,3121,2265,1176,1077,
75,148859,172869,245049,318774,391565,378732,287886,360795,346647,372820,290519,285961,350433,409487,273933,311138,284674,135144,282495,230041,145249,158750,
76,1156,1480,2039,2881,3625,3850,3103,4531,3029,3090,2356,2134,2678,2569,1906,2022,2292,793,2448,1549,1010,1296,
77,7812,8212,11905,15318,19353,18259,14243,20719,16691,16618,13406,14112,17306,16994,11327,12933,12647,7115,13776,11039,7220,7166,
78,3341,3756,5173,6696,8306,7960,6618,8228,7841,9102,7910,7860,10021,10158,6219,6530,6790,3003,7395,5907,3635,3815,
79,58723,71931,108424,136062,154810,151104,121114,152794,150984,155734,127143,119764,141126,154802,104683,108508,101689,58365,127605,100075,59750,62786,
80,4467,6197,11060,12796,17230,13786,11005,13501,14297,13383,10535,10911,12420,14107,9024,10273,9397,5403,11751,8978,5540,5775,
82,12267,16390,22435,28792,33413,31226,23303,29544,29405,28933,23312,23840,28788,32409,19823,24526,23514,11802,25790,21726,12841,14610,
84,44648,55386,79831,109768,114463,92368,61368,111856,104023,114684,88571,85925,109439,124391,77534,88407,88154,40472,90254,73264,47448,48994,
85,6730,8880,12571,17608,20149,19418,14665,19894,17957,18714,14572,14087,16637,18962,12661,11942,10912,5476,14537,13311,8147,6594,
86,8769,10307,15087,19840,22515,18746,15633,19614,18077,18482,13723,11880,15612,16904,11133,11278,10983,7492,15517,13110,8580,8542,
89,312786,305433,305700,297810,304641,289566,249690,304005,320368,306939,293555,244202,315802,373156,254284,275187,281154,82948,215403,272283,311480,327577,
90,5486,7339,8334,7571,8034,7511,6688,8557,7744,7480,3497,0,3158,8673,6775,5916,5746,2022,5007,4940,5927,7344,
91,28831,32624,35045,36439,34805,30898,26461,41446,38879,35987,35877,30847,39133,42392,28897,38519,35753,7996,20036,26900,26200,31437,
92,42274,48480,1703,2,1,1,1,3,1,3,3,4,28503,72840,50461,53452,54839,6973,35792,42544,50109,53869,
93,2924,2801,4527,6440,6531,5842,5357,6511,6133,6391,5072,5522,6174,7282,5005,4598,6101,2416,6118,3810,2500,2757,
94,9775,8681,7294,7094,7886,6918,5690,6942,8674,7827,4959,0,6411,22312,15860,17211,14609,2178,9047,9845,10825,11512,
95,4627,5189,5367,4809,5315,5377,4730,5707,6102,6514,6065,5591,7079,12079,4966,5775,5426,1373,3857,4306,4792,6049,
96,13281,15482,17312,15838,16675,16912,13364,18529,18425,19366,19924,16766,18206,27493,17958,17154,17179,4331,14006,15182,15484,16658,
97,16154,20226,20892,24298,27348,27203,21457,26677,27132,23615,10811,0,11296,29394,18303,18306,20602,6483,17627,21525,21290,22276,
99,10394,8022,0,0,0,0,0,0,0,0,0,0,6294,15247,10657,11672,12513,2553,8157,10136,11672,11437,
100,6159,4946,4739,5045,6223,5677,4091,5153,5300,4813,5201,4407,5880,7038,5781,5244,5938,1763,3913,4120,5002,5060,
101,60279,45448,9620,10097,10114,10263,7787,9563,9768,9408,4181,0,32376,88065,57044,55780,64477,18392,52033,59600,69778,73621,
102,10338,7435,0,0,0,0,0,0,0,0,0,0,4955,13278,9532,9112,8891,3716,10147,9899,12958,12007,
103,24734,26491,13904,13944,15028,16795,12773,15235,16241,13672,7385,1260,12062,32674,20662,23561,26169,6896,19668,21710,25482,24174,
104,22441,18037,5055,7745,7788,7308,5168,5633,6511,6486,2041,0,11285,29960,19630,20642,20457,6046,19543,19668,22854,22629,
106,90413,34951,4917,4608,4902,4246,3789,4953,5210,4537,3290,840,43327,129748,89073,87880,89627,25217,78224,81597,92304,111033,
107,8462,8942,9790,8867,13671,14302,9389,11826,10980,9637,10214,9065,10602,11445,6980,8146,9864,2393,8575,9454,8706,8761,
108,45457,55659,53606,51913,52075,46306,44906,55918,56481,55389,53944,27020,25111,66677,46627,49919,50016,7627,37189,46717,57388,57568,
109,35389,9334,0,0,0,0,0,0,0,0,0,0,16192,45198,28152,30568,31581,12252,36073,44382,48988,47889,
110,81675,93215,55034,49197,47290,43735,37892,51335,51577,45303,27877,2854,45393,114025,76217,77041,73388,25058,73306,85674,90789,99123,
113,17834,19167,28842,35148,49816,43850,43413,37876,41700,40118,29969,37594,42920,56977,30595,28327,31188,15090,31924,25145,17930,23124,
114,2028,2525,3829,5956,7158,7436,5184,6338,5741,4479,4681,4439,5452,5351,2733,2230,3203,2145,5441,3979,1792,2023,
115,41106,37899,59393,77477,87978,75387,58017,71250,72817,70075,55711,52319,69916,74067,45617,49125,45011,33935,65175,56179,36653,39314,
116,188731,172865,272334,346970,397727,375681,296254,353421,365093,346514,277942,269263,354384,353652,249081,267650,245115,165858,330084,270635,174134,176449,
117,274503,287794,426486,553031,638645,612089,469389,571478,578461,559963,433737,422974,548821,590051,393713,440393,399239,243873,487265,404309,269592,265866,
118,79319,72703,115660,157031,171798,151042,114861,145594,148187,138893,116104,113361,154957,179998,110289,118121,102247,69750,138769,123622,75554,81143,
119,103982,104285,149301,191669,228322,232067,173495,223148,236713,232530,183784,175263,219212,216648,160310,164531,153626,81967,170785,139790,90563,98764,
120,69974,55915,100524,137432,154265,146364,113749,140324,134582,130681,103735,91626,127445,140033,87646,90412,73143,58174,119526,98916,67234,67890,
121,132480,131844,183368,236674,285509,273248,206134,261182,269284,246047,195161,197433,260201,276020,183311,200698,175439,115778,225279,184881,118169,126196,
122,603891,612878,847986,1103965,1300763,1238033,950022,1173718,1205661,1175453,916706,880458,1149016,1261525,833471,877430,797878,484618,981430,806247,540233,569282,
123,192087,193704,276341,371235,414572,378600,288029,358783,369190,358412,279750,268473,371721,386136,234567,256952,241417,165461,325940,272213,174706,183865,
124,167718,185068,254475,301601,334264,325445,254800,330200,285155,282101,232361,238909,311971,268389,178828,189025,175172,119295,265296,238347,160293,158725,
125,41465,37165,59087,79112,88906,83750,63490,80855,76481,71426,57130,55917,77600,77548,53713,55868,52352,32385,70689,60999,39984,42784,
126,74528,70696,105501,140454,153113,141206,112619,139911,139805,132130,105751,102385,137518,137406,87146,97773,91715,67331,132448,107967,69321,73830,
127,753,1090,1812,2272,4493,2600,3201,2991,3118,3541,2737,2644,3045,3663,2671,2278,2632,1057,1920,1507,521,660,
128,575,900,1446,2120,2685,1733,1592,2163,1903,1792,1513,1670,2088,2898,1921,2269,2449,570,1324,1237,405,628,
129,304,240,383,536,994,896,578,894,774,737,886,849,960,1126,695,454,834,136,436,416,331,313,
130,371,492,723,880,2133,2432,1341,1193,975,1067,792,781,833,1072,594,404,700,431,1474,1016,360,349,
131,1269,1397,1665,2707,4924,3741,3418,2772,2187,2965,1861,1987,2248,3527,2686,2292,2208,818,2245,1934,1269,1121,
